"filename", "language", "Dart", "comment", "blank", "total"
"c:\src\flutterApps\Project-Mercury\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
"c:\src\flutterApps\Project-Mercury\lib\main.dart", "Dart", 84, 5, 7, 96
"c:\src\flutterApps\Project-Mercury\lib\models\contact.dart", "Dart", 26, 0, 5, 31
"c:\src\flutterApps\Project-Mercury\lib\models\event.dart", "Dart", 62, 0, 7, 69
"c:\src\flutterApps\Project-Mercury\lib\models\furniture.dart", "Dart", 14, 1, 2, 17
"c:\src\flutterApps\Project-Mercury\lib\models\slot.dart", "Dart", 27, 1, 5, 33
"c:\src\flutterApps\Project-Mercury\lib\models\store_item.dart", "Dart", 61, 0, 8, 69
"c:\src\flutterApps\Project-Mercury\lib\models\transaction.dart", "Dart", 54, 0, 6, 60
"c:\src\flutterApps\Project-Mercury\lib\models\user.dart", "Dart", 28, 0, 4, 32
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_card.dart", "Dart", 141, 0, 3, 144
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_data.dart", "Dart", 58, 0, 4, 62
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contacts_page.dart", "Dart", 28, 0, 4, 32
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_card.dart", "Dart", 339, 2, 20, 361
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_data.dart", "Dart", 34, 0, 2, 36
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_page.dart", "Dart", 32, 0, 4, 36
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\cube.dart", "Dart", 127, 9, 15, 151
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\floor_plan.dart", "Dart", 65, 6, 6, 77
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\furniture_card.dart", "Dart", 24, 1, 4, 29
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\furniture_slot.dart", "Dart", 46, 1, 4, 51
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\home_page.dart", "Dart", 189, 4, 5, 198
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\isometric.dart", "Dart", 33, 4, 8, 45
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room.dart", "Dart", 137, 8, 9, 154
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room_data.dart", "Dart", 344, 0, 10, 354
"c:\src\flutterApps\Project-Mercury\lib\pages\infoPage\info_page.dart", "Dart", 167, 12, 9, 188
"c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\money_page.dart", "Dart", 91, 0, 5, 96
"c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\transaction_card.dart", "Dart", 86, 0, 4, 90
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_card.dart", "Dart", 129, 0, 6, 135
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_data.dart", "Dart", 78, 0, 2, 80
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_page.dart", "Dart", 129, 1, 4, 134
"c:\src\flutterApps\Project-Mercury\lib\resources\analytics_methods.dart", "Dart", 12, 0, 5, 17
"c:\src\flutterApps\Project-Mercury\lib\resources\auth_methods.dart", "Dart", 15, 0, 7, 22
"c:\src\flutterApps\Project-Mercury\lib\resources\event_controller.dart", "Dart", 70, 1, 12, 83
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_methods.dart", "Dart", 305, 18, 27, 350
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_path.dart", "Dart", 21, 0, 6, 27
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_service.dart", "Dart", 135, 11, 14, 160
"c:\src\flutterApps\Project-Mercury\lib\resources\locator.dart", "Dart", 16, 5, 3, 24
"c:\src\flutterApps\Project-Mercury\lib\resources\time_controller.dart", "Dart", 39, 8, 9, 56
"c:\src\flutterApps\Project-Mercury\lib\screens\navigation_screen.dart", "Dart", 160, 0, 9, 169
"c:\src\flutterApps\Project-Mercury\lib\screens\sign_in_screen.dart", "Dart", 15, 0, 3, 18
"c:\src\flutterApps\Project-Mercury\lib\screens\welcome_screen.dart", "Dart", 76, 0, 4, 80
"c:\src\flutterApps\Project-Mercury\lib\utils\global_variables.dart", "Dart", 13, 3, 4, 20
"c:\src\flutterApps\Project-Mercury\lib\utils\utils.dart", "Dart", 179, 3, 9, 191
"Total", "-", 3755, 116, 290, 4161